,en,lat,lng
67,Black-faced Bunting,22.49921,106.96898
68,Black-faced Bunting,23.868876,106.61461
69,Black-faced Bunting,29.184475,119.37959
70,Black-faced Bunting,30.375355,120.61364
71,Black-faced Bunting,26.73247,106.65616
72,Black-faced Bunting,30.15225,120.13549
73,Black-faced Bunting,30.24431,119.99249
74,Black-faced Bunting,26.03419,119.64201
75,Black-faced Bunting,30.263409,120.020744
76,Black-faced Bunting,26.447598,106.67772
77,Black-faced Bunting,31.749743,121.25307
78,Black-faced Bunting,22.328526,112.592514
79,Black-faced Bunting,30.103945,120.056465
80,Black-faced Bunting,31.72238,121.23817
81,Black-faced Bunting,31.407953,120.89579
82,Black-faced Bunting,22.57145,106.690384
83,Black-faced Bunting,31.706177,121.25812
84,Black-faced Bunting,28.840319,115.89648
85,Black-faced Bunting,31.300842,120.69617
86,Black-faced Bunting,26.04368,119.350075
87,Black-faced Bunting,30.267427,120.07676
88,Black-faced Bunting,25.917171,119.13156
89,Black-faced Bunting,22.463232,106.957596
0,Black-streaked Scimitar-Babbler,30.994867,103.50685
1,Black-streaked Scimitar-Babbler,30.539099,104.32158
2,Black-streaked Scimitar-Babbler,26.367727,106.44163
3,Black-streaked Scimitar-Babbler,24.93635,98.48271
4,Black-streaked Scimitar-Babbler,24.16234,102.39495
5,Black-streaked Scimitar-Babbler,25.224627,98.67067
0,Black-throated Tit,31.028845,119.898605
1,Black-throated Tit,27.65241,117.981384
2,Black-throated Tit,30.994867,103.50685
3,Black-throated Tit,24.483877,118.08644
4,Black-throated Tit,24.861746,118.12162
5,Black-throated Tit,31.957115,114.244255
6,Black-throated Tit,30.267427,120.07676
7,Black-throated Tit,30.764904,104.1285
8,Black-throated Tit,27.63856,117.931435
9,Black-throated Tit,23.18312,113.29759
10,Black-throated Tit,25.1296,102.760666
11,Black-throated Tit,24.847673,118.026924
12,Black-throated Tit,31.839529,117.26899
13,Black-throated Tit,31.063559,120.997215
14,Black-throated Tit,31.448574,120.76839
15,Black-throated Tit,27.677689,117.97489
16,Black-throated Tit,26.595816,106.6917
17,Black-throated Tit,29.242771,120.42999
18,Black-throated Tit,30.605564,114.316185
19,Black-throated Tit,30.502909,104.28985
20,Black-throated Tit,30.632013,104.085846
21,Black-throated Tit,30.253855,120.137184
22,Black-throated Tit,23.181284,113.38981
23,Black-throated Tit,31.214968,121.5496
24,Black-throated Tit,30.241926,119.75857
25,Black-throated Tit,30.344103,119.92858
26,Black-throated Tit,24.90173,118.15031
27,Black-throated Tit,30.57081,104.05835
28,Black-throated Tit,26.149008,119.29217
29,Black-throated Tit,26.085672,119.26489
30,Black-throated Tit,24.965546,113.62769
31,Black-throated Tit,30.50436,104.2981
32,Black-throated Tit,28.52715,119.549866
33,Black-throated Tit,26.367727,106.44163
34,Black-throated Tit,34.217514,108.92853
35,Black-throated Tit,26.447598,106.67772
36,Black-throated Tit,30.269602,120.19309
37,Black-throated Tit,35.287636,109.67045
38,Black-throated Tit,31.259659,120.728516
39,Black-throated Tit,30.12652,120.06906
40,Black-throated Tit,26.510353,106.647385
41,Black-throated Tit,27.826721,121.1492
